"State","Plant","Lat","Long","Coal","Oil","Gas","Nuclear","Hydro","Wood","Wind","Solar","Geo","Other"
"AK","AGRIUM KENAI NITROGEN OPERATIONS","60.0656","151.6719","0.0","0.0","114490.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ALAKANUK","60.2992","159.7343","0.0","1474.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ALLAKAKET","64.8557","146.2789","0.0","570.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ALYESKA SEAFOODS INC","51.9961","175.5654","0.0","10717.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","AMBLER","N/A","N/A","0.0","1130.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","AMERICAN PRESIDENT LINES LTD","51.9961","175.5654","0.0","6154.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ANCHORAGE 1","61.1095","149.4381","0.0","82.0","10345.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ANIAK","60.2992","159.7343","0.0","2543.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ANNA PLATFORM","60.0656","151.6719","0.0","0.0","8387.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ANNEX CREEK","58.3849","134.1888","0.0","0.0","0.0","0.0","24722.0","0.0","0.0","0.0","0.0","0.0"
"AK","ANVIK","60.2992","159.7343","0.0","422.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","AUKE BAY","58.3849","134.1888","0.0","2163.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","AURORA ENERGY LLC","64.8557","146.2789","148787.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BAKER PLATFORM","60.0656","151.6719","0.0","0.0","14958.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BARROW","69.7020","153.9798","0.0","0.0","51213.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BEAVER FALLS","55.5426","131.4359","0.0","0.0","0.0","0.0","42162.0","0.0","0.0","0.0","0.0","0.0"
"AK","BELUGA","60.0656","151.6719","0.0","0.0","1947226.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BERING STAR","51.9961","175.5654","0.0","2665.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BERNICE LAKE","60.0656","151.6719","0.0","0.0","242912.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BETHEL","60.2992","159.7343","0.0","4167.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BETTLES LIGHT & PWR","65.2014","151.0227","0.0","825.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BLACK BEAR LAKE","55.5135","132.0062","0.0","0.0","0.0","0.0","21622.0","0.0","0.0","0.0","0.0","0.0"
"AK","BLUE LAKE","N/A","N/A","0.0","0.0","0.0","0.0","37581.0","0.0","0.0","0.0","0.0","0.0"
"AK","BLUE LAKE FISH VALVE","N/A","N/A","0.0","0.0","0.0","0.0","5866.0","0.0","0.0","0.0","0.0","0.0"
"AK","BRADLEY LAKE","60.0656","151.6719","0.0","0.0","0.0","0.0","360693.0","0.0","0.0","0.0","0.0","0.0"
"AK","BREVIG MISSION","64.8202","163.7929","0.0","653.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","BRUCE PLATFORM","60.0656","151.6719","0.0","0.0","4450.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CENTENNIAL","55.5426","131.4359","0.0","485.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CENTRAL PRODUCTION FACILITY 1","69.7020","153.9798","0.0","0.0","208045.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CENTRAL PRODUCTION FACILITY 2","69.7020","153.9798","0.0","0.0","97859.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CENTRAL PRODUCTION FACILITY 3","69.7020","153.9798","0.0","0.0","116864.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CHENA","64.8557","146.2789","0.0","67.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CHESTER LAKE","55.5426","131.4359","0.0","0.0","0.0","0.0","2136.0","0.0","0.0","0.0","0.0","0.0"
"AK","CHEVAK","60.2992","159.7343","0.0","1670.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","CHISTOCHINA","64.8557","146.2789","0.0","290.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","COFFMAN COVE","55.5135","132.0062","0.0","954.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","COOPER LAKE","60.0656","151.6719","0.0","0.0","0.0","0.0","14263.0","0.0","0.0","0.0","0.0","0.0"
"AK","CRAIG","55.5135","132.0062","0.0","2425.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","DILLINGHAM","58.2710","156.6659","0.0","620.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","DILLON PLATFORM","60.0656","151.6719","0.0","619.8","3268.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","EAGLE","64.8557","146.2789","0.0","713.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","EEK","60.2992","159.7343","0.0","599.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","EGEGIK","N/A","N/A","0.0","769.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","EIELSON AIR FORCE BASE CENTRAL HEAT","64.8557","146.2789","74350.9","823.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","ELIM","64.8202","163.7929","0.0","890.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","EMMONAK","60.2992","159.7343","0.0","2470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","FAIRBANKS","64.8557","146.2789","0.0","3054.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","FORT GREELY POWER PLANT","61.1095","149.4381","0.0","777.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GAMBELL","64.8202","163.7929","0.0","1968.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GEORGE M SULLIVAN","61.1095","149.4381","0.0","157.0","881927.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GLENNALLEN","61.4602","144.9163","0.0","16413.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GOAT LAKE HYDRO","N/A","N/A","0.0","0.0","0.0","0.0","19201.0","0.0","0.0","0.0","0.0","0.0"
"AK","GOLD CREEK","58.3849","134.1888","0.0","175.0","0.0","0.0","5355.0","0.0","0.0","0.0","0.0","0.0"
"AK","GOODNEWS BAY","60.2992","159.7343","0.0","608.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GRANITE POINT PLATFORM","60.0656","151.6719","0.0","1479.1","9821.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GRAYLING","60.2992","159.7343","0.0","504.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GRAYLING PLATFORM","60.0656","151.6719","0.0","0.0","15522.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","GREEN LAKE","N/A","N/A","0.0","0.0","0.0","0.0","50774.0","0.0","0.0","0.0","0.0","0.0"
"AK","GWITCHYAA ZHEE","65.2014","151.0227","0.0","260.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HAINES","58.9284","135.4073","0.0","662.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HEALY","63.9360","150.1263","184901.0","376.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HEALY LAKE","64.8557","146.2789","0.0","138.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HOLLIS","55.5135","132.0062","0.0","532.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HOLY CROSS","60.2992","159.7343","0.0","696.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HOOPER BAY","60.2992","159.7343","0.0","2358.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HUSLIA","64.8557","146.2789","0.0","829.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","HYDABURG","55.5135","132.0062","0.0","1458.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
