"STATE","Plant","Lat","Long","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"AK","Alakanuk","62.6833","-164.6544","0.0","1,859.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Anchorage 1","61.2328","-149.8909","0.0","366.5","55,061.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Angoon","57.8425","-134.9772","0.0","1,928.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Aniak","61.5875","-159.5317","0.0","2,725.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Annex Creek","58.3167","-134.0958","0.0","0.0","0.0","0.0","26,436.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Auke Bay","58.3861","-134.6389","0.0","335.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Aurora Energy LLC Chena","64.8461","-147.7286","204,196.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Barrow","71.2789","-156.7981","0.0","0.0","49,803.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Beaver Falls","55.3633","-131.6778","0.0","0.0","0.0","0.0","40,956.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Beluga","61.1861","-151.0356","0.0","0.0","2,240,960.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Bernice Lake","60.6935","-151.3874","0.0","0.0","24,555.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Bethel","60.7897","-161.7878","0.0","41,926.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Black Bear Lake","55.4764","-133.1483","0.0","0.0","0.0","0.0","20,822.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Blue Lake","57.0516","-135.2297","0.0","0.0","0.0","0.0","58,422.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Bradley Lake","59.7554","-150.8511","0.0","0.0","0.0","0.0","348,271.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Centennial","55.1139","-131.5481","0.0","-236.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Chester Lake","55.1139","-131.5481","0.0","0.0","0.0","0.0","3,130.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AK","Cooper Lake","60.4908","-149.8158","0.0","0.0","0.0","0.0","45,390.0","0.0","0.0","0.0","0.0","0.0","0.0"
