"Year","State","Plant","Long","Plant latitude","Coal","Oil","Gas","Nuclear","Hydro","Biomass","Wind","Solar","Geo","Other1","Other2"
"2018","AK","7-Mile Ridge Wind Project","-143.247156","63.210689","","","","","","","","","","",""
"2018","AK","Agrium Kenai Nitrogen Operations","-151.3784","60.6732","","","","","","","","","","",""
"2018","AK","Alakanuk","-164.6544","62.6833","0","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Allison Creek Hydro","-146.353333","61.084444","0","0","0","0","23,077","0","0","0","0","0","0"
"2018","AK","Ambler","-157.856719","67.08798","0","1,206","0","0","0","0","0","0","0","0","0"
"2018","AK","Anchorage 1","-149.8661","61.2221","0","80","28,857","0","0","0","0","0","0","0","0"
"2018","AK","Angoon","-134.58614","57.499166","0","1,653","0","0","0","0","0","0","0","0","0"
"2018","AK","Aniak","-159.535643","61.580678","0","2,174","0","0","0","0","0","0","0","0","0"
"2018","AK","Annex Creek","-134.101","58.3176","0","0","0","0","26,657","0","0","0","0","0","0"
"2018","AK","Auke Bay","-134.6446","58.3875","0","-88","0","0","0","0","0","0","0","0","0"
"2018","AK","Aurora Energy LLC Chena","-147.735063","64.847743","177,819","0","0","0","0","0","0","0","0","0","0"
"2018","AK","Barrow","-156.7786","71.292","0","2","48,251","0","0","0","0","0","0","0","0"
"2018","AK","Battery Energy Storage System","-147.725","64.8167","0","0","0","0","0","0","0","0","0","0","-2,428"
"2018","AK","Beaver Falls","-131.470269","55.37975","0","0","0","0","33,310","0","0","0","0","0","0"
"2018","AK","Beluga","-151.0356","61.1861","0","0","37,832","0","0","0","0","0","0","0","0"
"2018","AK","Bernice Lake","-151.3874","60.6935","0","0","396","0","0","0","0","0","0","0","0"
"2018","AK","Bethel","-161.787778","60.7897","0","40,542","0","0","0","0","0","0","0","0","0"
"2018","AK","Black Bear Lake","-133.14772","55.476472","0","0","0","0","18,099","0","0","0","0","0","0"
"2018","AK","Blue Lake Hydro","-135.2297","57.0516","0","0","0","0","56,170","0","0","0","0","0","0"
"2018","AK","Bradley Lake","-150.94015","59.77862","0","0","0","0","404,479","0","0","0","0","0","0"
"2018","AK","Brevig Mission","-166.479506","65.331716","0","1,162","0","0","0","0","0","0","0","0","0"
"2018","AK","Centennial","-131.560267","55.121433","0","5,578","0","0","0","0","0","0","0","0","0"
"2018","AK","Chester Lake","-131.545879","55.116879","0","0","0","0","5,384","0","0","0","0","0","0"
"2018","AK","Chevak","-165.590152","61.525297","0","1,724","0","0","0","0","0","0","0","0","0"
"2018","AK","Cooper Lake","-149.665603","60.392331","0","0","0","0","59,832","0","0","0","0","0","0"
"2018","AK","Craig (AK)","-133.14869","55.47691","0","2,349","0","0","0","0","0","0","0","0","0"
"2018","AK","Delta Power","-145.719444","64.028056","0","-176","0","0","0","0","0","0","0","0","0"
"2018","AK","Delta Wind Farm","-145.596667","64.013889","0","0","0","0","0","0","4,498","0","0","0","0"
"2018","AK","Dillingham","-158.468597","59.042914","0","19,005","0","0","0","0","0","0","0","0","0"
